ID,artist,title,picture data,file info,jpg url
31387,PIERO DELLA FRANCESCA,the penance of st jerome,"c. 1450, panel, 51 x 38 cm, staatliche museen, berlin","850*1144, true color, 187 kb",https://www.wga.hu/art/p/piero/3/01jerome.jpg
31388,PIERO DELLA FRANCESCA,baptism of christ,"1448-50, egg tempera on poplar panel, 167 x 116 cm, national gallery, london","940*1300, true color, 244 kb",https://www.wga.hu/art/p/piero/3/02bapti1.jpg
31389,PIERO DELLA FRANCESCA,7b. recognition of the true cross (detail),"1452-66, fresco, san francesco, arezzo","1026*973, true color, 170 kb",https://www.wga.hu/art/p/piero/2/7/7find11.jpg
31390,PIERO DELLA FRANCESCA,baptism of christ (detail),"1448-50, egg tempera on poplar panel, national gallery, london","800*957, true color, 129 kb",https://www.wga.hu/art/p/piero/3/02bapti3.jpg
31391,PIERO DELLA FRANCESCA,st jerome and a donor,"1451, panel, 49 x 42 cm, gallerie dell'accademia, venice","900*1112, true color, 173 kb",https://www.wga.hu/art/p/piero/3/03jerome.jpg
31392,PIERO DELLA FRANCESCA,st sigismund and sigismondo pandolfo malatesta,"1451, fresco, 257 x 345 cm, tempio malatestiano, rimini","1150*800, true color, 183 kb",https://www.wga.hu/art/p/piero/3/03sigism.jpg
31393,PIERO DELLA FRANCESCA,the flagellation,"c. 1455, oil and tempera on panel, 59 x 82 cm, galleria nazionale delle marche, urbino","1374*1000, true color, 250 kb",https://www.wga.hu/art/p/piero/3/04flage1.jpg
31394,PIERO DELLA FRANCESCA,the flagellation (detail),"c. 1455, oil and tempera on panel, galleria nazionale delle marche, urbino","1100*1127, true color, 229 kb",https://www.wga.hu/art/p/piero/3/04flage2.jpg
31395,PIERO DELLA FRANCESCA,the flagellation (detail),"c. 1455, oil and tempera on panel, galleria nazionale delle marche, urbino","923*1300, true color, 198 kb",https://www.wga.hu/art/p/piero/3/04flage3.jpg
31396,PIERO DELLA FRANCESCA,the flagellation (detail),"c. 1455, oil and tempera on panel,, galleria nazionale delle marche, urbino","1000*1205, true color, 189 kb",https://www.wga.hu/art/p/piero/3/04flage4.jpg
31397,PIERO DELLA FRANCESCA,st julian,"1455-60, fresco, 130 x 105 cm, pinacoteca comunale, sansepolcro","709*920, true color, 166 kb",https://www.wga.hu/art/p/piero/3/05julian.jpg
31398,PIERO DELLA FRANCESCA,saint mary magdalen,"1460, fresco, 190 x 105 cm, duomo, arezzo","715*1500, true color, 190 kb",https://www.wga.hu/art/p/piero/3/06magdal.jpg
31399,PIERO DELLA FRANCESCA,madonna and child attended by angels,"1460-65, oil on panel, transferred to fabric on panel, 108 x 78 cm, the clark art institute, williamstown","1168*1600, true color, 258 kb",https://www.wga.hu/art/p/piero/3/07clark1.jpg
31400,PIERO DELLA FRANCESCA,madonna and child attended by angels (detail),"1460-65, oil on wood, the clark art institute, williamstown","708*1200, true color, 174 kb",https://www.wga.hu/art/p/piero/3/07clark2.jpg
31401,PIERO DELLA FRANCESCA,madonna and child attended by angels (detail),"1460-65, oil on wood, the clark art institute, williamstown","900*1050, true color, 222 kb",https://www.wga.hu/art/p/piero/3/07clark3.jpg
31402,PIERO DELLA FRANCESCA,resurrection,"1463-65, mural in fresco and tempera, 225 x 200 cm, pinacoteca comunale, sansepolcro","1130*1200, true color, 222 kb",https://www.wga.hu/art/p/piero/3/08resur1.jpg
31403,PIERO DELLA FRANCESCA,resurrection (detail),"1463-65, mural in fresco and tempera, pinacoteca comunale, sansepolcro","918*763, true color, 124 kb",https://www.wga.hu/art/p/piero/3/08resur2.jpg
31404,PIERO DELLA FRANCESCA,resurrection (detail),"1463-65, mural in fresco and tempera, pinacoteca comunale, sansepolcro","1278*795, true color, 198 kb",https://www.wga.hu/art/p/piero/3/08resur3.jpg
31405,PIERO DELLA FRANCESCA,hercules,"c. 1465, fresco, 151 x 126 cm, isabella stewart gardner museum, boston","935*1100, true color, 139 kb",https://www.wga.hu/art/p/piero/3/09hercul.jpg
31406,PIERO DELLA FRANCESCA,scene after and before restoration,"-, fresco, san francesco, arezzo","900*1302, true color, 214 kb",https://www.wga.hu/art/p/piero/2/93/93restau1.jpg
31407,PIERO DELLA FRANCESCA,7b. recognition of the true cross,"1452-66, fresco, san francesco, arezzo","1091*1000, true color, 222 kb",https://www.wga.hu/art/p/piero/2/7/7find10.jpg
31408,PIERO DELLA FRANCESCA,polyptych of st augustine: st john the evangelist,"c. 1460, tempera on panel, 132 x 58 cm, frick collection, new york","702*1600, true color, 155 kb",https://www.wga.hu/art/p/piero/1/2august3.jpg
31409,PIERO DELLA FRANCESCA,7a. finding of the true cross (detail),"1452-66, fresco, san francesco, arezzo","1045*764, true color, 138 kb",https://www.wga.hu/art/p/piero/2/7/7find08.jpg
31410,PIERO DELLA FRANCESCA,polyptych of st anthony: the stigmatisation of st francis,"c. 1460, panel, 37 x 52 cm, galleria nazionale dell'umbria, perugia","1093*770, true color, 106 kb",https://www.wga.hu/art/p/piero/1/3anton09.jpg
